<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	00:00:00	1.22391	1.22398	1.22275	1.22309	264	0	0
2021.01.04	00:15:00	1.22312	1.22388	1.22312	1.22365	217	0	5
2021.01.04	00:30:00	1.22347	1.22400	1.22324	1.22342	249	0	0
2021.01.04	00:45:00	1.22343	1.22350	1.22319	1.22330	111	0	0
2021.01.04	01:00:00	1.22330	1.22417	1.22304	1.22395	1791	0	0
2021.01.04	01:15:00	1.22395	1.22406	1.22337	1.22399	1022	0	0
2021.01.04	01:30:00	1.22398	1.22481	1.22394	1.22470	1579	0	0
2021.01.04	01:45:00	1.22470	1.22527	1.22435	1.22501	2667	0	0
2021.01.04	02:00:00	1.22499	1.22499	1.22427	1.22455	3205	0	0
2021.01.04	02:15:00	1.22455	1.22476	1.22406	1.22455	2254	0	0
2021.01.04	02:30:00	1.22454	1.22456	1.22386	1.22411	1305	0	0
2021.01.04	02:45:00	1.22412	1.22442	1.22396	1.22407	1873	0	0
2021.01.04	03:00:00	1.22408	1.22505	1.22399	1.22478	3512	0	0
2021.01.04	03:15:00	1.22478	1.22488	1.22429	1.22447	1238	0	0
2021.01.04	03:30:00	1.22448	1.22552	1.22415	1.22504	1440	0	0
2021.01.04	03:45:00	1.22504	1.22558	1.22488	1.22526	2000	0	0
2021.01.04	04:00:00	1.22526	1.22583	1.22510	1.22561	1496	0	0
2021.01.04	04:15:00	1.22562	1.22580	1.22511	1.22548	1977	0	0
2021.01.04	04:30:00	1.22548	1.22586	1.22496	1.22520	1794	0	0
2021.01.04	04:45:00	1.22521	1.22544	1.22504	1.22540	1853	0	0
2021.01.04	05:00:00	1.22541	1.22554	1.22500	1.22539	2983	0	0
2021.01.04	05:15:00	1.22538	1.22578	1.22527	1.22574	867	0	0
2021.01.04	05:30:00	1.22574	1.22575	1.22486	1.22542	1152	0	0
2021.01.04	05:45:00	1.22541	1.22577	1.22516	1.22550	1660	0	0
2021.01.04	06:00:00	1.22550	1.22550	1.22508	1.22514	952	0	0
2021.01.04	06:15:00	1.22514	1.22517	1.22480	1.22489	1732	0	0
2021.01.04	06:30:00	1.22490	1.22500	1.22437	1.22467	2304	0	0
2021.01.04	06:45:00	1.22466	1.22490	1.22450	1.22489	1083	0	0
2021.01.04	07:00:00	1.22490	1.22496	1.22463	1.22464	1063	0	0
2021.01.04	07:15:00	1.22465	1.22468	1.22415	1.22447	3766	0	0
2021.01.04	07:30:00	1.22447	1.22482	1.22445	1.22463	1882	0	0
2021.01.04	07:45:00	1.22462	1.22593	1.22456	1.22552	1469	0	0
2021.01.04	08:00:00	1.22552	1.22566	1.22463	1.22463	3064	0	0
2021.01.04	08:15:00	1.22464	1.22477	1.22422	1.22456	2594	0	0
2021.01.04	08:30:00	1.22456	1.22528	1.22456	1.22510	877	0	0
2021.01.04	08:45:00	1.22511	1.22578	1.22505	1.22562	1366	0	0
2021.01.04	09:00:00	1.22562	1.22661	1.22540	1.22630	2355	0	0
2021.01.04	09:15:00	1.22630	1.22685	1.22599	1.22653	2597	0	0
2021.01.04	09:30:00	1.22653	1.22681	1.22635	1.22671	1138	0	0
2021.01.04	09:45:00	1.22671	1.22690	1.22567	1.22639	2989	0	0
2021.01.04	10:00:00	1.22639	1.22711	1.22620	1.22691	2788	0	0
2021.01.04	10:15:00	1.22691	1.22743	1.22658	1.22723	2825	0	0
2021.01.04	10:30:00	1.22723	1.22863	1.22713	1.22851	3617	0	0
2021.01.04	10:45:00	1.22852	1.22855	1.22800	1.22812	2591	0	0
2021.01.04	11:00:00	1.22812	1.22857	1.22790	1.22823	2454	0	0
2021.01.04	11:15:00	1.22822	1.22953	1.22822	1.22942	2793	0	0
2021.01.04	11:30:00	1.22943	1.23006	1.22929	1.22970	2291	0	0
2021.01.04	11:45:00	1.22971	1.22982	1.22894	1.22934	2903	0	0
2021.01.04	12:00:00	1.22935	1.22998	1.22922	1.22992	2134	0	0
2021.01.04	12:15:00	1.22992	1.23000	1.22898	1.22928	1939	0	0
2021.01.04	12:30:00	1.22928	1.22952	1.22897	1.22931	2871	0	0
2021.01.04	12:45:00	1.22931	1.22985	1.22907	1.22923	2236	0	0
2021.01.04	13:00:00	1.22924	1.22996	1.22922	1.22965	2195	0	0
2021.01.04	13:15:00	1.22965	1.22984	1.22923	1.22975	1796	0	0
2021.01.04	13:30:00	1.22976	1.22990	1.22937	1.22952	2049	0	0
2021.01.04	13:45:00	1.22953	1.22987	1.22913	1.22932	2283	0	0
2021.01.04	14:00:00	1.22931	1.22946	1.22871	1.22942	2873	0	0
2021.01.04	14:15:00	1.22942	1.23002	1.22918	1.22993	1804	0	0
2021.01.04	14:30:00	1.22994	1.23003	1.22943	1.22951	2631	0	0
2021.01.04	14:45:00	1.22952	1.23062	1.22941	1.23034	2777	0	0
2021.01.04	15:00:00	1.23035	1.23051	1.22951	1.22954	4028	0	0
2021.01.04	15:15:00	1.22955	1.22995	1.22863	1.22886	3445	0	0
2021.01.04	15:30:00	1.22887	1.23001	1.22887	1.23000	2571	0	0
2021.01.04	15:45:00	1.23000	1.23041	1.22921	1.22989	3398	0	0
2021.01.04	16:00:00	1.22991	1.23036	1.22938	1.22980	3318	0	0
2021.01.04	16:15:00	1.22981	1.23095	1.22942	1.23065	3979	0	0
2021.01.04	16:30:00	1.23065	1.23080	1.22899	1.22998	5441	0	0
2021.01.04	16:45:00	1.22998	1.23042	1.22837	1.22892	6342	0	0
2021.01.04	17:00:00	1.22893	1.22909	1.22734	1.22790	4510	0	0
2021.01.04	17:15:00	1.22790	1.22823	1.22713	1.22713	3147	0	0
2021.01.04	17:30:00	1.22712	1.22738	1.22654	1.22712	3824	0	0
2021.01.04	17:45:00	1.22711	1.22736	1.22604	1.22718	5219	0	0
2021.01.04	18:00:00	1.22717	1.22774	1.22666	1.22756	4229	0	0
2021.01.04	18:15:00	1.22756	1.22771	1.22668	1.22674	3836	0	0
2021.01.04	18:30:00	1.22674	1.22711	1.22602	1.22626	3285	0	0
2021.01.04	18:45:00	1.22626	1.22651	1.22524	1.22537	3322	0	0
2021.01.04	19:00:00	1.22536	1.22571	1.22503	1.22525	2433	0	0
2021.01.04	19:15:00	1.22524	1.22601	1.22502	1.22590	2315	0	0
2021.01.04	19:30:00	1.22590	1.22613	1.22551	1.22569	2597	0	0
2021.01.04	19:45:00	1.22568	1.22568	1.22500	1.22531	3091	0	0
2021.01.04	20:00:00	1.22530	1.22568	1.22454	1.22494	2205	0	0
2021.01.04	20:15:00	1.22495	1.22509	1.22479	1.22497	1332	0	0
2021.01.04	20:30:00	1.22497	1.22504	1.22425	1.22456	1307	0	0
2021.01.04	20:45:00	1.22457	1.22512	1.22438	1.22510	930	0	0
