<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.01	1.22391	1.23495	1.20536	1.21355	3163950	0	0
2021.02.01	1.21278	1.22429	1.19523	1.20724	2271361	0	0
2021.03.01	1.20688	1.21133	1.17041	1.17299	2388341	0	0
2021.04.01	1.17302	1.21499	1.17127	1.20207	1153154	0	0
2021.05.01	1.20307	1.22664	1.19861	1.22244	1271169	0	0
2021.06.01	1.22241	1.22544	1.18451	1.18573	1038690	0	0
2021.07.01	1.18595	1.19086	1.17519	1.18729	1095021	0	0
2021.08.01	1.18634	1.18997	1.16639	1.18085	832648	0	0
2021.09.01	1.18078	1.19091	1.15625	1.15764	1010698	0	0
2021.10.01	1.15750	1.16922	1.15244	1.15621	1120031	0	0
2021.11.01	1.15569	1.16164	1.11861	1.13395	1291022	0	0
2021.12.01	1.13365	1.13864	1.12216	1.13775	1143982	0	0
2022.01.01	1.13650	1.14827	1.11214	1.12327	1180256	0	0
2022.02.01	1.12335	1.14949	1.11064	1.12190	1488191	0	0
2022.03.01	1.12161	1.12331	1.08060	1.10659	2094897	0	0
2022.04.01	1.10631	1.10761	1.04712	1.05462	1616901	0	0
2022.05.01	1.05464	1.07869	1.03497	1.07325	2209157	0	0
2022.06.01	1.07324	1.07739	1.03590	1.04832	2378065	0	0
2022.07.01	1.04787	1.04833	0.99522	1.02263	2469367	0	0
2022.08.01	1.02167	1.03686	0.99004	1.00524	2277524	0	0
2022.09.01	1.00511	1.01978	0.95358	0.97992	2852758	0	0
2022.10.01	0.97898	1.00936	0.96318	0.98824	2761284	0	0
2022.11.01	0.98769	1.04969	0.97300	1.04083	2685343	0	0
2022.12.01	1.04033	1.07363	1.03932	1.06997	2027851	0	0
2023.01.01	1.06967	1.09295	1.04820	1.08614	1914618	0	0
2023.02.01	1.08611	1.10329	1.05330	1.06041	1630168	0	0
